Comment:,"Melting MIX1G pyroxenite, full thermal exchange with peridotite, Tp=1300_C., P in (kb)",,,,,
P,F,Kr,DU,DTh,DRa,DPa
10.5,0.129512412,1,0.019171625,0.014517119,0.00001,0.00001
10.4,0.131120092,1,0.019123639,0.014478262,0.00001,0.00001
10.3,0.132732241,1,0.019097769,0.01445025,0.00001,0.00001
10.2,0.134348865,1,0.019071544,0.014421883,0.00001,0.00001
10.1,0.135969975,1,0.019044957,0.014393157,0.00001,0.00001
10,0.137595577,1,0.018991307,0.014346821,0.00001,0.00001
9.9,0.13922568,1,0.01899068,0.014334606,0.00001,0.00001
9.8,0.140860291,1,0.018962981,0.014304771,0.00001,0.00001
9.7,0.142499419,1,0.0189349,0.014274556,0.00001,0.00001
9.6,0.144143071,1,0.018916601,0.014251297,0.00001,0.00001
9.5,0.145791253,1,0.01880201,0.014170735,8.27E-05,0.00001
9.4,0.147443974,1,0.018884798,0.014229651,0.000140718,0.00001
9.3,0.14910124,1,0.018727636,0.014126995,0.000271308,0.00001
9.2,0.150763058,1,0.018771434,0.014133881,0.000205855,0.00001
9.1,0.152429435,1,0.018750408,0.014109401,0.000225674,0.00001
9,0.154100377,1,0.018586489,0.014006521,0.000369403,0.00001
8.9,0.155775889,1,0.018676347,0.014041251,0.000283204,0.00001
8.8,0.157455979,1,0.01862318,0.013997504,0.000320989,0.00001
8.7,0.159140651,1,0.01855917,0.013947257,0.000364834,0.00001
8.6,0.16082991,1,0.018484252,0.013890472,0.000414776,0.00001
8.5,0.162523763,1,0.018418374,0.013841368,0.000451904,0.00001
8.4,0.164222213,1,0.018301434,0.013757137,0.000533091,0.00001
8.3,0.165925265,1,0.018193408,0.013680512,0.000601534,0.00001
8.2,0.167632923,1,0.018074219,0.013597199,0.000676215,0.00001
8.1,0.169345191,1,0.017943806,0.013507161,0.000757167,0.00001
8,0.171062072,1,0.017785782,0.013409612,0.000889287,0.00001
7.9,0.17278357,1,0.017649059,0.013306765,0.000938022,0.00001
7.8,0.174509687,1,0.017484603,0.013196334,0.001037993,0.00001
7.7,0.176240425,1,0.017308677,0.013079034,0.00114437,0.00001
7.6,0.177975786,1,0.017121222,0.012954829,0.001257188,0.00001
7.5,0.179715772,1,0.016967967,0.012835835,0.001286984,0.00001
7.4,0.181460384,1,0.016711488,0.012685566,0.001502274,0.00001
7.3,0.183209621,1,0.016489092,0.012540438,0.001634607,0.00001
7.2,0.184963486,1,0.016254932,0.012388268,0.00177351,0.00001
7.1,0.186721976,1,0.016008952,0.012229021,0.001919013,0.00001
7,0.188485091,1,0.015805364,0.012089197,0.002028755,0.00001
6.9,0.19025283,1,0.015481305,0.011889164,0.002229947,0.00001
6.8,0.19202519,1,0.015199527,0.011708489,0.002395439,0.00001
6.7,0.19380217,1,0.014905706,0.011520606,0.002567654,0.00001
6.6,0.195583765,1,0.014599788,0.011325485,0.002746622,0.00001
6.5,0.197369974,1,0.014300571,0.011135697,0.002931993,0.00001
6.4,0.19916079,1,0.013881886,0.010878146,0.003183322,0.00001
6.3,0.200956209,1,0.01338996,0.010576245,0.003448051,0.00001
6.2,0.202756227,1,0.01279491,0.010197362,0.003704,0.00001
6.1,0.204560836,1,0.012366171,0.009936182,0.003908653,0.00001
6,0.20637003,1,0.012014636,0.00971417,0.00407375,0.00001
5.9,0.208183801,1,0.011538399,0.009431211,0.004303691,0.00001
5.8,0.210002141,1,0.011139542,0.009187525,0.004493992,0.00001
5.7,0.211825042,1,0.010750822,0.008949774,0.004679423,0.00001
5.6,0.213652494,1,0.010372329,0.00871801,0.004859942,0.00001
5.5,0.215484486,1,0.009836022,0.008367926,0.005068011,0.00001
5.4,0.217321008,1,0.009646382,0.008272659,0.005206072,0.00001
5.3,0.219162047,1,0.009299109,0.008059177,0.005371596,0.00001
